area_fips,county,state,population,pct_uninsured_total,pct_uninsured_138_400_poverty,pct_uninsured_age_50_up,september_employment_selected_industries,total_qtrly_wages_selected_industries,september_employment_all_industries,total_qtrly_wages_all_industries,september_jobs_per_thousand_selected_industries,total_qtrly_wages_lc_selected_industries,september_employment_lq_selected_industries,total_qtrly_wages_lq_selected_industries
48213,Henderson County,Texas,80460,21.2,21.9,16.5,2236,9026880,17553,164533049,127,0.05,1.03,0.87
48265,Kerr County,Texas,51365,22.5,24.8,19.9,2792,17272374,18550,198207816,151,0.09,1.21,1.37
48303,Lubbock County,Texas,301454,16,17.7,13.5,21591,103551055,141585,1578987812,152,0.07,1.23,1.03
48339,Montgomery County,Texas,554445,17.2,23.5,14,27137,156600969,192011,2642254863,141,0.06,1.14,0.93
48347,Nacogdoches County,Texas,65558,22.9,23,17.8,3035,11738784,22271,211184723,136,0.06,1.1,0.88
48355,Nueces County,Texas,360486,19,21.6,14.7,23915,146517371,163358,1997067529,146,0.07,1.18,1.16
48363,Palo Pinto County,Texas,28317,22,22.6,17.6,1260,5840201,8715,100601757,145,0.06,1.17,0.92
48367,Parker County,Texas,129802,15.3,20.2,13.9,4481,22916423,34924,391762050,128,0.06,1.03,0.92
48381,Randall County,Texas,132475,13.2,16,11.7,4958,23010799,32531,350714473,152,0.07,1.23,1.03
48397,Rockwall County,Texas,93642,13.4,19.8,12.3,5440,27986896,32807,347078722,166,0.08,1.34,1.27
48409,San Patricio County,Texas,67046,18.9,21,14,2463,13429029,18657,223530766,132,0.06,1.06,0.95
48439,Tarrant County,Texas,2019977,18.4,22.6,15.2,124926,863923029,923263,12918587971,135,0.07,1.09,1.05
48451,Tom Green County,Texas,117466,17.9,20.1,13.2,6282,29991902,47773,533071336,131,0.06,1.06,0.89
48453,Travis County,Texas,1203166,14.6,19.9,11.3,102717,734897590,779855,13278297051,132,0.06,1.06,0.87
48463,Uvalde County,Texas,27009,22.5,23,19.4,1301,6703399,9883,87897339,132,0.08,1.06,1.2
48467,Van Zandt County,Texas,54368,21.3,22.6,17.7,1625,7326664,11312,102144069,144,0.07,1.16,1.13
48479,Webb County,Texas,272053,28.6,28.7,30.2,18853,115561143,102968,961372720,183,0.12,1.48,1.9
48491,Williamson County,Texas,527057,11.4,16.2,10.6,23852,134081720,181431,2698708835,131,0.05,1.06,0.78
49019,Grand County,Utah,9616,13.2,14.4,11.9,2801,18848565,6562,57654587,427,0.33,3.44,5.16
49021,Iron County,Utah,49691,13.7,13.4,10.9,2851,10419747,20102,175973022,142,0.06,1.14,0.93
49043,Summit County,Utah,40511,9.6,15.8,6.2,9031,102504403,26562,336865816,340,0.3,2.74,4.8
49051,Wasatch County,Utah,30523,11.9,14.1,8.1,1822,10311914,10545,116273848,173,0.09,1.39,1.4
49053,Washington County,Utah,160537,13.9,14.9,9.2,10832,51353630,70864,659079262,153,0.08,1.23,1.23
50015,Lamoille County,Vermont,25268,6.7,8.3,6.4,3335,27260427,12023,121554139,277,0.22,2.24,3.54
50019,Orleans County,Vermont,26911,6.4,7.2,6.1,1461,9162886,10862,107329420,135,0.09,1.08,1.35
50021,Rutland County,Vermont,59273,5.5,6.8,5.1,3551,19706204,26545,294282126,134,0.07,1.08,1.06
51013,Arlington County,Virginia,231803,7.7,15.8,5.4,27221,342310814,182914,4165224018,149,0.08,1.2,1.3
51107,Loudoun County,Virginia,385143,6.5,13.9,5.5,28660,268225750,174842,2829800419,164,0.09,1.32,1.49
51153,Prince William County,Virginia,456749,11.7,17.5,9.1,17684,91500827,132826,1663319605,133,0.06,1.07,0.87
51187,Warren County,Virginia,39449,11.3,14,9.4,1721,8800052,12817,132858378,134,0.07,1.08,1.04
51199,York County,Virginia,67587,7.6,10.7,6.4,4209,25038833,21517,219283908,196,0.11,1.58,1.8
51540,Charlottesville city,Virginia,47042,11.7,13.9,10.3,6429,37311196,41439,549082303,155,0.07,1.25,1.07
51610,Falls Church city,Virginia,14067,3.7,8.7,3.5,1697,9898834,12056,209743178,141,0.05,1.13,0.74
51650,Hampton city,Virginia,135583,9.6,10.7,9.3,7007,37720652,53490,635955025,131,0.06,1.06,0.94
51680,Lynchburg city,Virginia,80131,10.2,10.5,9.4,6587,26167741,52296,576246619,126,0.05,1.02,0.72
51710,Norfolk city,Virginia,245592,11.7,12.8,11.4,18606,182407875,139635,1932707602,133,0.09,1.07,1.49
51810,Virginia Beach city,Virginia,450135,8.9,11.5,8.5,29027,152691759,177913,1928349642,163,0.08,1.31,1.25
53007,Chelan County,Washington,75757,9.3,11.4,6.9,5873,36375982,46530,517709482,126,0.07,1.02,1.11
53029,Island County,Washington,81636,6,7.4,4.9,2892,18837010,17063,181852484,169,0.1,1.37,1.63
53033,King County,Washington,2163257,6.2,10.5,5.2,182175,1977569890,1445252,34212627034,126,0.06,1.02,0.91
53037,Kittitas County,Washington,44825,8.2,9.3,6.5,3050,17950457,15869,170342827,192,0.11,1.55,1.66
53055,San Juan County,Washington,16473,9.1,11.3,7.7,1927,16103654,6611,66613189,291,0.24,2.35,3.81
53073,Whatcom County,Washington,216812,7.6,9.3,6.4,11439,71890840,91484,1128868548,125,0.06,1.01,1
54037,Jefferson County,West Virginia,56179,6.5,8.7,5.2,3831,25967224,15651,177558145,245,0.15,1.97,2.31
54061,Monongalia County,West Virginia,105252,7.2,8.3,5.5,7205,32162191,57540,764723312,125,0.04,1.01,0.66
55093,Pierce County,Wisconsin,41603,4.9,6.4,4.6,1671,6426964,10438,93398137,160,0.07,1.29,1.09
55109,St. Croix County,Wisconsin,87917,4.6,6.8,3.6,4931,21557299,34447,364758567,143,0.06,1.15,0.93
55125,Vilas County,Wisconsin,21593,10.2,11.3,8,1861,12195850,8418,74322101,221,0.16,1.78,2.59
56001,Albany County,Wyoming,38102,12.5,12.3,10,2223,9287787,16264,169265768,137,0.05,1.1,0.87
